"season","c_m","zip3","ILI","popstat"
"1","O","388","522","486311"
"1","A","389","2","30723"
"1","C","389","2","9942"
"1","O","389","6","38034"
"1","A","390","82","987394"
"1","C","390","60","357975"
"1","O","390","18","200600"
"1","A","391","33","900455"
"1","C","391","24","327147"
"1","O","391","8","108123"
"1","A","392","57","1041796"
"1","C","392","24","313069"
"1","O","392","5","56629"
"1","A","393","7","135516"
"1","C","393","4","52077"
"1","O","393","12","88311"
"1","A","394","7","263915"
"1","C","394","6","134606"
"1","O","394","11","136296"
"1","A","395","438","2779408"
"1","C","395","221","1251046"
"1","O","395","98","899448"
"1","A","396","1","17113"
"1","C","396","2","20975"
"1","O","396","5","27034"
"1","A","397","69","823370"
"1","C","397","58","435944"
"1","O","397","67","257156"
"1","A","400","188","1792967"
"1","C","400","107","634183"
"1","O","400","91","353182"
"1","A","401","143","1083086"
"1","C","401","83","432875"
"1","O","401","33","176020"
"1","A","402","1191","7848681"
"1","C","402","287","2627716"
"1","O","402","190","2700875"
"1","A","403","53","1531148"
"1","C","403","82","588313"
"1","O","403","28","265435"
